,date,id,content,username,like_count,retweet_count
0,2023-02-04 18:51:48+00:00,1621944630928367616,". ”The suffering of Christian refugees is a testimony to the failure of the International community to support &amp; better the situation of the victims of genocide”  at  He included the  in the speech, video:  ",ShabKlara,0,0
1,2023-02-04 18:51:48+00:00,1621944630831882240,"           Qu il rentre chez lui dans son,pays,ce,connard qu' il aille y'faire la loi lol",jeannepicart,0,0
2,2023-02-04 18:51:47+00:00,1621944625983361026,           Kick his ungrateful ass out of the country. See if Mexico or another country in the south will feed and house him for free. How long are the American people going to put up with this?! There is a system for Legal immigration.,CezarCervantez,0,0
3,2023-02-04 18:51:39+00:00,1621944590709264384,           Stick him on a pole.,BrettGary3,0,0
4,2023-02-04 18:51:37+00:00,1621944583402692616," This 1000% They are smearing concerned citizens as far right/rascist. People want answers. Ukraine refugees are welcome. Was supposed to be women,children, elderly. Even Syria. But young men from Georgia,Albania, Algiers, other countries not at war arriving no docs = trouble",KMhaille,0,0
5,2023-02-04 18:51:15+00:00,1621944491195113473,             Maybe because even the suggestion would be deemed culturally insensitive from a political perspective,biowalker8,0,0
6,2023-02-04 18:51:13+00:00,1621944480579321856,            This got you a follow. Extreme measures must be taken to protect the most precious things on this earth...our children,ChristyStamper4,0,0
7,2023-02-04 18:51:02+00:00,1621944434597269506, The UK. Refugees get 5 star hotels whilst British citizens starve to death on the side of the road.,jmsmith1624,0,0
8,2023-02-04 18:50:56+00:00,1621944411285250048," I was talking with a guy called Marcel Slinkman, works the bar at VVHeino, drove a bus to Poland for Ukraine refugees. He knows you. Is there a game tomorrow?",MrMickNL,0,0
9,2023-02-04 18:50:55+00:00,1621944407934083074,"            terrible. Même si cet homme pourrit en prison,  cette jeune femme est détruite à vie ",elise_11,0,0
10,2023-02-04 18:50:53+00:00,1621944398094147584,           Nem látom a véres ruháját a rapistnak,RighterGedeon,0,0
11,2023-02-04 18:50:49+00:00,1621944379710574594,           Now you know what we have to accept in the USA….almost all trouble makers….single adult males!! Totally trash and  Biden welcomes this blight on our Country!!!!,Kathlee46258722,0,0
12,2023-02-04 18:50:47+00:00,1621944371284443137,Refugees deserve a chance at a better life   ,elemental_facts,0,0
